iter	Passed	Remaining
0	152	151908
1	155	77667
2	159	52872
3	162	40516
4	166	33100
5	169	28133
6	173	24572
7	176	21916
8	180	19858
9	183	18181
10	186	16805
11	190	15647
12	193	14660
13	196	13864
14	199	13081
15	201	12382
16	203	11761
17	204	11183
18	206	10668
19	208	10205
20	209	9784
21	211	9400
22	212	9040
23	214	8711
24	215	8407
25	216	8126
26	218	7864
27	219	7623
28	220	7398
29	222	7188
30	223	6991
31	225	6813
32	226	6642
33	228	6479
34	229	6325
35	230	6181
36	232	6043
37	233	5911
38	234	5787
39	236	5668
40	237	5556
41	238	5450
42	240	5349
43	241	5252
44	243	5159
45	244	5069
46	245	4984
47	247	4903
48	248	4823
49	250	4751
50	251	4681
51	252	4611
52	254	4543
53	255	4478
54	256	4415
55	258	4353
56	259	4293
57	260	4237
58	262	4182
59	263	4129
60	264	4077
61	266	4028
62	267	3979
63	268	3933
64	270	3888
65	271	3843
66	272	3800
67	274	3758
68	275	3718
69	276	3679
70	278	3641
71	279	3604
72	280	3567
73	282	3532
74	283	3498
75	284	3464
76	286	3431
77	287	3399
78	288	3367
79	290	3336
80	291	3309
81	292	3279
82	293	3244
83	294	3216
84	296	3189
85	297	3158
86	298	3132
87	299	3107
88	301	3082
89	302	3058
90	303	3035
91	305	3012
92	306	2990
93	307	2968
94	309	2945
95	310	2924
96	311	2903
97	313	2883
98	314	2863
99	315	2843
100	317	2823
101	318	2805
102	320	2787
103	321	2768
104	322	2750
105	324	2733
106	324	2710
107	326	2693
108	327	2676
109	328	2659
110	330	2643
111	331	2627
112	332	2609
113	333	2592
114	334	2577
115	336	2562
116	337	2547
117	338	2533
118	340	2518
119	341	2504
120	342	2490
121	344	2477
122	345	2464
123	346	2450
124	348	2437
125	349	2424
126	350	2412
127	352	2399
128	353	2387
129	355	2375
130	356	2363
131	357	2352
132	359	2340
133	360	2328
134	361	2317
135	363	2306
136	364	2295
137	365	2284
138	367	2273
139	368	2262
140	369	2251
141	371	2243
